角色名,阵营,血量,技能,主色调,AI绘图提示词
朱元璋,君,4,强运：任意角色回合内每当你失去或用掉最后1张手牌时可立即摸两张牌,赤金+玄黑+暗红+石青,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——朱元璋位于画面中央，头戴明式翼善冠、冠翅平直，面容方正刚毅、眉目如鹰，胡须短密如铁，身披赤金色帝王袍、衣袍饰以龙纹，人物占画面约85%。设色方案以赤金、玄黑、暗红、石青为主——帝王袍以赤金与玄黑交织晕染，翼善冠描暗红与石青，衣袍龙纹以暗红勾勒，面部墨色中透赤金与玄黑。背景为极淡的金灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以赤金、玄黑、暗红与石青为主，雄猜刚毅、草莽天子，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
李自成,君,4,闯王：你使用的【杀】造成伤害时摸一张牌；你受到伤害时弃置伤害来源一张牌,赭褐+暗红+土黄+墨绿,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——李自成位于画面中央，头戴毡笠帽、帽檐微压，面容粗犷豪迈、眉目间透草莽之气，胡须蓬乱，身披赭褐色短褐战袍、衣袍粗犷，人物占画面约85%。设色方案以赭褐、暗红、土黄、墨绿为主——战袍以赭褐与土黄交织晕染，毡笠帽描暗红与墨绿，衣袍边缘以暗红勾勒，面部墨色粗犷中透赭褐。背景为极淡的褐黄色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以赭褐、暗红、土黄与墨绿为主，闯王豪气、均田免粮，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
吕雉,君,3,鸩杀：出牌阶段可弃置一张牌令一名角色流失1点血量；戚姬：当你受到男性角色造成的伤害时可弃置其一张牌,玄紫+暗金+墨绿+朱砂,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——吕雉位于画面中央，发髻高挽如云、饰以金簪，面容冷峻威严、眉目间透权谋之气，身披玄紫色深衣、衣袍饰以暗纹，人物占画面约85%。设色方案以玄紫、暗金、墨绿、朱砂为主——深衣以玄紫与墨绿交织晕染，发髻金簪描暗金与朱砂，衣袍暗纹以暗金勾勒，面部墨色冷峻中透玄紫。背景为极淡的紫灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以玄紫、暗金、墨绿与朱砂为主，权谋深算、汉宫女主，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
康熙,君,4,削藩：作为主公时所有君阵营均视为臣阵营；明察：其他角色使用【药】回复时可弃一张牌为自己回复1血,明黄+宝蓝+朱砂+暗金,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——康熙位于画面中央，头戴清式朝冠、顶戴花翎，面容端正英明、眉目开阔，胡须修剪齐整，身披明黄色龙袍、衣袍饰以五爪金龙纹，人物占画面约85%。设色方案以明黄、宝蓝、朱砂、暗金为主——龙袍以明黄与宝蓝交织晕染，朝冠顶戴描朱砂与暗金，龙纹以暗金勾勒，面部墨色中透明黄暖意。背景为极淡的金黄色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以明黄、宝蓝、朱砂与暗金为主，英明神武、康乾盛世，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
刘彻,君,3,威强：任意角色出【五谷丰登】时你第一个拿牌；睿德：有角色弃牌时可用手牌替换弃牌，每轮限一次,玄青+赤金+暗红+月白,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——刘彻位于画面中央，头戴汉式通天冠、冠梁高耸，面容阔朗威严、眉目间透雄主之气，长须飘逸，身披玄青色帝王袍、衣袍饰以云纹，人物占画面约85%。设色方案以玄青、赤金、暗红、月白为主——帝王袍以玄青与暗红交织晕染，通天冠描赤金与月白，衣袍云纹以赤金勾勒，面部墨色沉雄中透玄青。背景为极淡的青灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以玄青、赤金、暗红与月白为主，雄才大略、汉武大帝，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
李煜,君,3,超脱：任意角色判定前可用黑色牌替换判定牌；后主：使用【闪】后可令任意角色判定，黑桃则造成2点伤害,月白+黛蓝+淡金+胭脂,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——李煜位于画面中央，头戴唐式幞头、帽翅垂落，面容清俊儒雅、眉目含愁如词中意境，长须飘逸，身披月白色宽袍、衣袍宽大如流水，手持一卷词稿置于胸前，人物占画面约85%。设色方案以月白、黛蓝、淡金、胭脂为主——宽袍以月白与黛蓝交织晕染，幞头描淡金与胭脂，词稿以枯墨与淡金描绘，面部墨色清冷中透月白与黛蓝。背景为极淡的蓝灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以月白、黛蓝、淡金与胭脂为主，词帝风流、问君能有几多愁，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
张飞,臣,4,斗神：摸牌时可放弃摸牌进行判定，获得判定牌并将不同颜色手牌当【决斗】使用,铁灰+朱砂+暗金+墨绿,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——张飞位于画面中央，头戴铁灰色兜鍪、红缨如焰，面容粗犷威猛、双目圆睁如铜铃，胡须如钢针倒竖，身披铁灰色山文甲、肩甲厚重，手持丈八蛇矛斜扛于肩，人物占画面约85%。设色方案以铁灰、朱砂、暗金、墨绿为主——山文甲以铁灰与墨绿交织晕染，兜鍪红缨描朱砂如火焰，丈八蛇矛以暗金与铁灰描绘，面部墨色威猛中透铁灰与朱砂。背景为极淡的冷灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以铁灰、朱砂、暗金与墨绿为主，万人之敌、当阳断桥，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
杨玉环,臣,3,羞花：出牌阶段可弃一张红桃牌令一名男性角色跳过出牌阶段；霓裳：你使用的【药】回复量+1,胭脂+藕荷+赤金+翠绿,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——杨玉环位于画面中央，发髻高挽如云、饰以金步摇与牡丹，面容丰腴娇媚、眉目含情如霓裳舞姿，身披胭脂色锦袍、衣袍宽袖如云，手持团扇半遮面，人物占画面约85%。设色方案以胭脂、藕荷、赤金、翠绿为主——锦袍以胭脂与藕荷交织晕染，发髻牡丹描赤金与翠绿，团扇以翠绿与赤金描绘，面部墨色丰润中透胭脂与藕荷。背景为极淡的粉红色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以胭脂、藕荷、赤金与翠绿为主，回眸一笑百媚生、六宫粉黛无颜色，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
墨子,臣,3,兼爱：出牌阶段可将手牌分配给任意角色；非攻：你受到的【杀】伤害-1,墨黑+赤铜+竹青+土黄,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——墨子位于画面中央，头戴布巾、巾角垂落，面容古朴睿智、眉目间透哲人之思，长须灰白，身披墨黑色粗布深衣、衣袍简朴，人物占画面约85%。设色方案以墨黑、赤铜、竹青、土黄为主——深衣以墨黑与土黄交织晕染，布巾描竹青与赤铜，衣袍边缘以竹青勾勒，面部墨色古朴中透墨黑与土黄。背景为极淡的褐灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以墨黑、赤铜、竹青与土黄为主，兼爱非攻、墨家巨子，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
孙武,臣,3,诡道：受到伤害时判定：红桃回复1血/方块令角色摸两张/黑桃令角色掉1血/梅花令角色弃两张牌；治军：手牌上限+1,铜绿+暗金+赭石+月白,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——孙武位于画面中央，头戴春秋武弁冠、冠顶方正，面容沉毅睿智、眉目间透兵家之气，长须飘逸，身披铜绿色战袍、衣袍饰以兵法竹简纹，手持一卷《孙子兵法》置于胸前，人物占画面约85%。设色方案以铜绿、暗金、赭石、月白为主——战袍以铜绿与赭石交织晕染，武弁冠描暗金与月白，兵法竹简以枯墨与暗金描绘，面部墨色沉毅中透铜绿。背景为极淡的青灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以铜绿、暗金、赭石与月白为主，兵圣传世、百世兵家之师，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
